"Time","Vampire","Divorce","British royal family"
"2004-01-01",15,18,5
"2004-02-01",15,19,4
"2004-03-01",15,18,4
"2004-04-01",16,19,3
"2004-05-01",16,17,4
"2004-06-01",15,16,4
"2004-07-01",13,18,3
"2004-08-01",12,18,2
"2004-09-01",13,19,4
"2004-10-01",17,18,3
"2004-11-01",15,18,3
"2004-12-01",18,15,3
"2005-01-01",16,19,4
"2005-02-01",14,19,4
"2005-03-01",14,17,3
"2005-04-01",11,17,5
"2005-05-01",13,17,3
"2005-06-01",12,17,3
"2005-07-01",11,17,3
"2005-08-01",11,17,2
"2005-09-01",13,17,3
"2005-10-01",17,16,3
"2005-11-01",12,17,3
"2005-12-01",11,17,3
"2006-01-01",12,18,3
"2006-02-01",12,18,3
"2006-03-01",11,16,3
"2006-04-01",13,16,4
"2006-05-01",11,18,2
"2006-06-01",10,16,3
"2006-07-01",10,16,2
"2006-08-01",9,18,2
"2006-09-01",9,17,3
"2006-10-01",14,18,3
"2006-11-01",9,18,3
"2006-12-01",8,14,3
"2007-01-01",8,18,2
"2007-02-01",9,16,2
"2007-03-01",8,18,2
"2007-04-01",7,17,2
"2007-05-01",8,17,2
"2007-06-01",8,16,2
"2007-07-01",8,17,2
"2007-08-01",8,15,2
"2007-09-01",9,16,2
"2007-10-01",13,15,9
"2007-11-01",9,15,4
"2007-12-01",9,15,4
"2008-01-01",9,17,2
"2008-02-01",9,17,2
"2008-03-01",10,18,2
"2008-04-01",8,15,3
"2008-05-01",9,14,2
"2008-06-01",9,15,2
"2008-07-01",9,14,2
"2008-08-01",9,15,2
"2008-09-01",10,15,2
"2008-10-01",15,14,2
"2008-11-01",10,15,2
"2008-12-01",12,13,2
"2009-01-01",13,13,2
"2009-02-01",12,13,2
"2009-03-01",13,15,2
"2009-04-01",13,15,2
"2009-05-01",12,17,2
"2009-06-01",12,15,2
"2009-07-01",13,15,1
"2009-08-01",13,15,2
"2009-09-01",13,16,2
"2009-10-01",27,16,1
"2009-11-01",18,16,2
"2009-12-01",14,15,2
"2010-01-01",15,19,2
"2010-02-01",16,22,2
"2010-03-01",15,21,2
"2010-04-01",15,19,2
"2010-05-01",15,19,2
"2010-06-01",14,20,2
"2010-07-01",16,19,2
"2010-08-01",13,18,1
"2010-09-01",13,18,1
"2010-10-01",24,18,1
"2010-11-01",14,18,6
"2010-12-01",13,16,5
"2011-01-01",13,21,4
"2011-02-01",13,20,3
"2011-03-01",12,19,3
"2011-04-01",11,18,19
"2011-05-01",11,18,7
"2011-06-01",11,20,3
"2011-07-01",11,20,2
"2011-08-01",13,20,2
"2011-09-01",15,21,2
"2011-10-01",24,23,2
"2011-11-01",20,26,2
"2011-12-01",16,21,4
"2012-01-01",16,28,3
"2012-02-01",15,25,3
"2012-03-01",15,19,3
"2012-04-01",14,19,3
"2012-05-01",13,18,6
"2012-06-01",16,23,13
"2012-07-01",14,26,3
"2012-08-01",14,20,3
"2012-09-01",13,19,3
"2012-10-01",26,20,2
"2012-11-01",16,18,2
"2012-12-01",14,17,5
"2013-01-01",13,22,3
"2013-02-01",14,20,2
"2013-03-01",15,20,3
"2013-04-01",12,21,3
"2013-05-01",12,18,2
"2013-06-01",12,21,3
"2013-07-01",11,22,11
"2013-08-01",12,21,3
"2013-09-01",11,21,2
"2013-10-01",24,21,2
"2013-11-01",12,20,2
"2013-12-01",12,21,3
"2014-01-01",11,24,3
"2014-02-01",13,22,2
"2014-03-01",12,22,2
"2014-04-01",11,21,3
"2014-05-01",13,27,2
"2014-06-01",11,20,3
"2014-07-01",11,22,2
"2014-08-01",12,21,2
"2014-09-01",11,19,3
"2014-10-01",28,19,2
"2014-11-01",12,19,2
"2014-12-01",10,18,4
"2015-01-01",12,20,3
"2015-02-01",12,18,2
"2015-03-01",11,19,3
"2015-04-01",10,18,3
"2015-05-01",11,19,8
"2015-06-01",11,19,4
"2015-07-01",12,21,3
"2015-08-01",12,26,3
"2015-09-01",12,22,3
"2015-10-01",31,22,3
"2015-11-01",11,20,3
